Index,xyz_vaccine,seasonal_vaccine
26707,0.13815697354267048,0.2884364004188383
26708,0.062352382566445534,0.08552357332253442
26709,0.43646348259476503,0.752385055299188
26710,0.5092795456782977,0.8078772710946858
26711,0.24704913564555053,0.46044945669062914
26712,0.4936289920594387,0.8431020858250587
26713,0.36753206744742145,0.5909395992381149
26714,0.11949247369135241,0.17891906075767505
26715,0.04741105156658265,0.16207307187320896
26716,0.15386665421577175,0.759635956514948
26717,0.07753646356686648,0.48269107085014695
26718,0.26387212609136546,0.46778236078358604
26719,0.11186736413542009,0.793491679886752
26720,0.06503861070960368,0.2855062474342678
26721,0.43991145407463,0.500002699867286
26722,0.05635099277838976,0.17936877898785458
26723,0.595676127197812,0.8567814971209001
26724,0.09021170012238118,0.7225325538806552
26725,0.05519056703634557,0.1505672462062396
26726,0.08526523400805636,0.13485496868238772
26727,0.24313606804262342,0.7772414666940667
26728,0.183193812216977,0.4638246198270265
26729,0.0787708240137507,0.2610760347021151
26730,0.06998254651330153,0.23636503532715644
26731,0.07166127515492268,0.28892279292371076
26732,0.12536011868688873,0.26363531578232924
26733,0.7956017065340723,0.9097422895865165
26734,0.573206054346573,0.5158885084138656
26735,0.11390001215883123,0.4140019525976432
26736,0.08251575976152223,0.16287902093200532
26737,0.05621467419603269,0.16926490475671557
26738,0.5762544592340666,0.7372993081010007
26739,0.05478061488267308,0.20676138198495764
26740,0.16803725975146172,0.19463112346578276
26741,0.22365264007985722,0.8495807162460101
26742,0.07992978692019627,0.29823361105885693
26743,0.0799435109722262,0.3708883740759386
26744,0.1193695165514535,0.6271082466459282
26745,0.1834198905619568,0.7607374990049521
26746,0.1780447262526854,0.3203103674342621
26747,0.08434448765154537,0.21411846455399436
26748,0.12516054461189907,0.19614128521482616
26749,0.07656685569206004,0.5272165244638104
26750,0.5388212778588503,0.8508541980406035
26751,0.31823214082803675,0.6041414980413102
26752,0.06315084148042889,0.1670597138375565
26753,0.15403016396373123,0.5536225480189678
